@Username,Tweet,Lokasi
astarte2017,"Turut hadir dalam acara tersebut Menkopolhukam Mahfud Md, Mensesneg Pratikno, Menteri Agama Yaqut Cholil Qoumas, Menhan Prabowo Subianto, Mendag Zulkifli Hasan, Menparekraf Sandiaga Uno, Menteri Investasi Bahlil Lahadalia, Menteri BUMN Erick Thohir. 
#IndonesiaMaju 
#jokowi https://t.co/W4rxbBYTip",Jakarta
NKRI_jaya,Berhutang pasti ditagih Sandiaga Uno #bapakPolitikIndentitas Indonesia @CNNPolitics,Jakarta Capital Region
Citralokadwipa,"Turut hadir dalam acara tersebut Menkopolhukam Mahfud Md, Mensesneg Pratikno, Menteri Agama Yaqut Cholil Qoumas, Menhan Prabowo Subianto, Mendag Zulkifli Hasan, Menparekraf Sandiaga Uno, Menteri Investasi Bahlil Lahadalia, &amp; Menteri BUMN Erick Thohir. 
#IndonesiaMaju 
#Jokowi https://t.co/VAPAGwC8le",Jakarta
ekodj373,"@musniumar Apa sdh kamu tanya satu per satu Mus , kalau itu tdk dibayar semuanya....Oh ya mungkin paling itu dpt uang dari Sandiaga Uno yg pura-pura pikun tdk dibayar oleh Anies Mus😁😆🤣🤣🙏🙏",
lingga_susilo,"Waduhhhh pakkk, lebih baik ga usah ngapain² pak. #Sandiagauno #Sandigagal #sandiacting #Hollywood #acting #Pilpres2024 #CariSuara https://t.co/feQFsVwFfd",
LunaFida1,"Achmad Baidowi mengatakan, pihaknya mengundang Ketua Umum Partai Gerindra Prabowo Subianto dan Sandiaga Uno untuk menghadiri perayaan puncak Harlah ke-50 PPP.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",Surabaya
superUnknownnn,"ANIES DAN KORUPSI APBD DKI

Semakin jelas motivasi @aniesbaswedan utk korupsi APBD DKI selama 2017-2022 adalah untuk membayar utang kepada Sandiaga Uno dan Yusuf Kalla

@KPK_RI 
@KejaksaanRI 
@BAWASLUDKI_JKT 
@dprddkijakarta 

 https://t.co/qIHebbJzmR",superUnknown
andrikingo77,"Waduh kok bisa-bisanya yaa Sandiaga pindah partai gitu aja, kaya gaada ingetnya jasa partai yang sebelumnya.. #kacanglupakulit #sandiagauno #sandiwara #ppp #gerindra #pindahpartai #sandiwaraterus #prabowo  #rumahdp0 #jakarta https://t.co/ntpHupDLzv",
linebellla,"Achmad Baidowi mengatakan, pihaknya mengundang Ketua Umum Gerindra Prabowo Subianto dan Sandiaga Uno untuk menghadiri perayaan puncak Harlah ke-50 PPP.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Lebih Baik Prabowo",Bekasi
yw7ehdak0end1uj,"Mimpi gala dinner sama Erick Tohir, Sandiaga Uno, dll. Trs pulangnya dianter naik dokar berdua sama Jokowi. Sampe depan rumah difotoin sama Mamah, tapi ga kesimpen. Jadinya aku video, tapi hilang juga. Terus mulai mikir konspirasi dihapus sama pemerintah foto &amp; videonya. Apasih..",
LiliaFatima4,"Achmad Baidowi mengatakan, pihaknya mengundang Ketua Umum Partai Gerindra Prabowo Subianto dan Sandiaga Uno untuk menghadiri perayaan puncak Harlah ke-50 PPP.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",Jakarta
MuthiaRamdini3,"Achmad Baidowi mengatakan, pihaknya mengundang Ketua Umum Partai Gerindra Prabowo Subianto dan Sandiaga Uno untuk menghadiri perayaan puncak Harlah ke-50 PPP.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",Bekasi
samiadjhi,"Ketua Umum PPP Mardiono sempat bercanda dengan Ketua Umum Partai Gerindra Prabowo Subianto untuk meminjam Sandiaga Uno di Pilpres 2024.

@prabowo

#capres2024

#pemilu2024

#dekade08

#terusmajubersamaprabowo

#mendingprabowo

Prabowo Lebih Baik",Subang
kluxkluk,"@Jhonkosmik biaya pilkada Pak Anies itu bukan uang Sandiaga Uno, jika Pak Anies kalah baru di tanggung oleh sandiaga uno, sbg hutang pak Anies..

padahal hal yang sama dilakukan Jokowi pada Pilkada 2012.
ada saat nya Pak SP buka borok semua di Pilprrs 2019

mana ada makan siang gratis
👇👇👇 https://t.co/P2OSrryCz9",Uzbekistan
marif_samsul,"@keuangannews_id Pada sambutan itu beliau mengatakan bahwa capres yg hadir pada acara harlah PPP lah yang beliau sebut, misalnya Prabowo, Erick Tohir, Sandiaga Uno fan AHY.  Karena saat itu Anies Baswedan tidak hadir maka tidak disebut.",
DavidFr86981125,"Sebenarnya ada perjanjian tertulis resmi yg ditanda tangani Anies dan Sandiaga Uno bahwa bila mereka menangkan pilkada Gub DKI waktu itu, utangnya untuk kampanye dinyatakan lunas.
Dgn demikian Anies tidak punya utang apapun kpd Sandiaga Uno.
https://t.co/V1bkf4k419 https://t.co/5sfYUzHwlg",
DaniyahIsmi,"Achmad Baidowi mengatakan, pihaknya mengundang Ketua Umum Partai Gerindra Prabowo Subianto dan Sandiaga Uno untuk menghadiri perayaan puncak Harlah ke-50 PPP.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",Surabaya
tiffagusti,"Achmad Baidowi mengatakan, pihaknya mengundang Ketua Umum Gerindra Prabowo Subianto dan Sandiaga Uno untuk menghadiri perayaan puncak Harlah ke-50 PPP.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Lebih Baik Prabowo",
irenefelicia16,"Ketua Umum PPP Mardiono sempat bercanda dengan Ketua Umum Partai Gerindra Prabowo Subianto untuk meminjam Sandiaga Uno di Pilpres 2024.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Lebih Baik",
NolanArya,"Achmad Baidowi mengatakan, pihaknya mengundang Ketua Umum Gerindra Prabowo Subianto dan Sandiaga Uno untuk menghadiri perayaan puncak Harlah ke-50 PPP.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Lebih Baik Prabowo",
RidwanMubarok15,"Ketua Umum PPP Mardiono sempat bercanda dengan Ketua Umum Partai Gerindra Prabowo Subianto untuk meminjam Sandiaga Uno di Pilpres 2024.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Lebih Baik",Kb. Garut
FrislyPutri,"Achmad Baidowi mengatakan, pihaknya mengundang Ketua Umum Partai Gerindra Prabowo Subianto dan Sandiaga Uno untuk menghadiri perayaan puncak Harlah ke-50 PPP.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",
SINDOnews,"Berpotensi Datangkan Wisatawan, Menparekraf Sandiaga Uno Dorong Optimalisasi Wisata Ziarah

 #Sindonews #BukanBeritaBiasa .https://t.co/XTvLlE60vl","Jakarta Pusat, DKI Jakarta"
SINDOnews,"Menparekraf Sandiaga Uno Dukung UMKM Kembangkan Peluang Melalui Kemasan yang Unik

 #Sindonews #BukanBeritaBiasa .https://t.co/2GMno2R8Qu","Jakarta Pusat, DKI Jakarta"
NaufalIiiqbal,"Achmad Baidowi mengatakan, pihaknya mengundang Ketua Umum Partai Gerindra Prabowo Subianto dan Sandiaga Uno untuk menghadiri perayaan puncak Harlah ke-50 PPP.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",Bogor
aesterniti,@JISUNGcounts sandiaga uno 🤭,"Forevermore, Jennie Kim."
haelamarie,"Sandiaga Uno Saat Ini Masih di Partai Gerindra, Sempat Dikabarkan Mau ke PPP - https://t.co/3IE1tp1ri7 https://t.co/jIkZwzG6FG #IndonesiaKuat #BangkitBersama",Indonesia
Ini_ajunk,"Saat Ini Masih Kader, Gerindra Bantah Prabowo Subianto Restui Sandiaga Uno ke PPP - https://t.co/yg5uDlpVqV https://t.co/etZ6ZIxxOk #IndonesiaKuat #BangkitBersama",jakarta
ElizarIrnold,"@YudiSet16452924 Gw sbg mak2 jg ga rela duit gw ikut buat nyumbang dulu total 6jt , cm untuk dpt pemimpin pengecut @prabowo  dan @SandiagaUno",
mediaseleb,Menparekraf Sandiaga Uno Dukung UMKM Kembangkan Peluang Melalui Kemasan yang Unik https://t.co/l1lTstCv8y,
mprizHAH,@klugetkluget @closetowhy @BroBillyOscar Rawrrr sandiaga uno pun setujuuurrgghhh^!!!,Pearl Periwinkle
abdallaguntur,"@sandiuno Ngga salah unfoll sandiaga dari mulai masuk rejim, mantap... bukan kelas sandiaga uno nagih utang begitu",
news_wanheart,'Jangan Provokasi' Ucap Prabowo Usai Dengar Guyon PPP Mau Pinjam Sandiaga Uno Nyapres https://t.co/WNilslRL0H,
MNCkoranSINDO,Menparekraf Sandiaga Uno Dukung UMKM Kembangkan Peluang Melalui Kemasan yang Unik https://t.co/AaXQr6HwxA,"Jakarta, Indonesia"
news_wanheart,Sandiaga Uno Serahkan ke Prabowo dan Mardiono soal Harapan PPP https://t.co/MK4a5j1vVt,
soloposdotcom,"Saat Ini Masih Kader, Gerindra Bantah Prabowo Restui Sandiaga Uno ke PPP https://t.co/cCsQgOZyzD","Solo, Central Java, Indonesia"
okezonenews,Sandiaga Uno Dorong Pembiayaan UMKM dan Ekraf di Pasar Modal #LengkapCepatBeritanya #Keuangan #Ekonomi #Ekonomi #EkonomiIndonesia . https://t.co/t5jSAE1Jiv,Jakarta
guycalledmillan,ya Allah saya pengen punya pacar plsplspslspslslslsls,I lack social skills
Faktorutama,"Soal Pindah dari Gerindra ke PPP, Sandiaga Uno: Nanti Pak Mar Sama Pak Prabowo akan Bertemu - https://t.co/m9Jzgjw3vy",
okezonenews,"Dorong UMKM Hasilkan Produk Halal dan Thayyib, Sandiaga Uno: Kemasan Harus Unik #LengkapCepatBeritanya #GayaHidup #lifestyle #Travel #JalanJalan . https://t.co/3J3ddgZTzt",Jakarta
soloposdotcom,"Sandiaga Uno Saat Ini Masih di Partai Gerindra, Sempat Dikabarkan Mau ke PPP https://t.co/FBLFrrg98o","Solo, Central Java, Indonesia"
D_Nomads,"Tape uli buatanmu, sandiaga uno.",
KompasTV,"Diusulkan Jadi Capres oleh PPP, Begini Tanggapan Sandiaga Uno! https://t.co/L698v9BUVj",Indonesia
JeSuu99,@tanyarlfes Klo public figur ya cm baru pak sandiaga uno 2019/2020 lalu. Kelihatannya beliau muda kaya 30an gitu. E ternyata udah 40++ ya. Orangnya berkharisma gitu,
RiniNat86338343,"@aniesbaswedan @NasDem @PDemokrat @PKSejahtera Pak...  Di cari Sandiaga Uno tu.  . Ada yg mau di bicarakan...  
Jgn ngumpet di balik ketiak Relawan.",
RepelitaO,"Sebut Prabowo Subianto, Sandiaga Uno, Mahfud MD, dan Erick Thohir Sosok Capres-Cawapres, Jokowi: Saya Hampir Lupa Juga Ada Mas AHY https://t.co/JX2fpOcXCf",
BeritakanID_com,"'Jangan Provokasi' Ucap Prabowo Usai Dengar Guyon PPP Mau Pinjam Sandiaga Uno Nyapres
https://t.co/957AHI5yCk",Indonesia
thelcfr666,@tanyakanrl anton dan tetangga sandiaga uno https://t.co/zbbM36jxGA,"Kalimantan Timur, Indonesia"
sobat_sandi,"Bangga, Produk lokal tampil di acara MotoGP 👏

#sandiagauno #sandiuno #kemenaprekraf #ekonomi #kreatif #saturdaynight #MotoGP #motorsports #sports #Indonesia #Twitter #viral #Trending https://t.co/ZmihvH3z4w",
Johan_Vicx,@jokowi Pak prabowo sama sandiaga uno cocok tu..Pak Erick Tohir ok juga si,Indonesia
tvOneNews,Sandiaga Uno Hadir di Harlah PPP Sebagai Menteri Bukan Sebagai Kader Partai https://t.co/rD3b1blMjG,Pulo Gadung
suaramerdeka111,Bapak politik identitas tidak bayar utang 50 Miliar ke Sandiaga Uno 😂 https://t.co/EtgIe98rZg,Mamuju
dekade_08,"Pak Prabowo dan Bang Sandiaga Uno Hadiri Harlah PPP sama sama. Mana lagi yang mau adu domba??? 

#prabowo #jokowi #indonesia #PPP #partaippp #isramiraj #IsraMiraj2023 #isramiraj1444h #dekade08 #mendingprabowo #terusmajubersamaprabowo https://t.co/ahwyKIYMR9","DKI Jakarta, Indonesia"
RepelitaO,'Jangan Provokasi' Ucap Prabowo Usai Dengar Guyon PPP Mau Pinjam Sandiaga Uno Nyapres https://t.co/lhFrOcnjka,
imediacyber,"Sandiaga Uno: Selamat Memperingati Isra Mikraj Kepada Seluruh Umat Islam
https://t.co/JCoKURKzVF","DKI Jakarta, Indonesia"
OposisiCerdas,"'Jangan Provokasi' Ucap Prabowo Usai Dengar Guyon PPP Mau Pinjam Sandiaga Uno Nyapres
https://t.co/w6Lsw6pt6g",
mang_ib,"Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno, Menteri Investasi Bahlil Lahadalia, dan Menteri BUMN Erick Thohir. 

Tangerang, 17 Februari 2023
Biro Pers, Media, dan Informasi Sekretariat Presiden

Website: https://t.co/wNKRdoZeq6
YouTube: Sekretariat Presiden https://t.co/Q4x1RMdysm","Cirebon Barat, Indonesia"
demokrasicoid,"Sebut Prabowo, Erick Thohir, Mahfud Md, Sandiaga Uno dan AHY Sebagai Sosok Capres Cawapres, Jokowi Nggak Singgung Anies, Kenapa? https://t.co/GZLyRHZF5a",Indonesia
demokrasicoid,"Sebut Prabowo, Erick Thohir, Mahfud Md, Sandiaga Uno dan AHY Sebagai Sosok Capres Cawapres, Jokowi Nggak Singgung Anies, Kenapa? https://t.co/GZLyRHZ7fC",Indonesia
tribunnews,"""Tadi banyak guyon ya, sama Pak Prabowo juga ada, bahwa Pak Mardiono tadi menyampaikan, 'pinjam dulu (Sandi-nya)',"" ujar Sandi saat ditemui di ICE BSD, Tangerang, Jumat (17/2/2023). (ist)
#SandiagaUno #PrabowoSubianto

https://t.co/PE90DGS40E via @tribunnews",Indonesia
ACovasz,"@dr_meddocs @abu_waras @ganjarpranowo @aniesbaswedan Duit nya ngutanglah sama Sandiaga Uno 92 miliar, masa gk tau ente🤭",
genx36545403,"Hal yang sama juga disampaikan oleh Wakil Ketua Dewan Pembina Gerindra Sekaligus Menteri Pariwisata n Ekonomi Kreatif Sandiaga Uno, bahwa tdk menutup kemungkinan partai lain akan ikut bergabung dalam koalisi Gerindra n PKB. 

#IndonesiaKuat 
#BangkitBersama 
Prabowo Subianto","Setia Budi, Indonesia"
warna_nusa,"Banyak Turis India Nikah di Bali, Sandiaga Uno: Pesona Bali Begitu Luar Biasa, seperti Magnet yang...

#SandiagaUno #Bali 
https://t.co/u5ctiFBgWa",Jl. Sumatera 118-120 Jember
PRFMnews,"Digelar di 7 Kota, Sandiaga Uno Dukung Ajang Festival Sinema Australia Indonesia 2023 https://t.co/9RsvsZK5vb","Bandung, West Java, Indonesia"
dinbudpar_rbg,"Salah satunya dengan didapatkannya sertifikat sebagai Desa Wisata binaan Kemenparekraf yang ditandatangani langsung oleh bapak Sandiaga Uno selaku Menteri Pariwisata dan Ekonomi Kreatif .

(+)",
greengoblin_21,Anies Baswedan selain utang janji dengan Prabowo juga utang duit dengan Sandiaga Uno https://t.co/rFn7i7dIte,
greengoblin_21,Anies Baswedan selain utang janji dengan Prabowo juga utang duit dengan Sandiaga Uno https://t.co/SNK1ztWEYR,
Riau24Com,"Pengakuan Sandiaga Uno: Prabowo Sebut ‘Jangan Provokasi’ ke Mardiono, Ada Apa? https://t.co/ocU1vVsdAI",Pekanbaru
fathw25,Sandiaga Uno Sebut Nasibnya di Pilpres 2024 di Tangan Prabowo ... - Media Etam https://t.co/1tsrD7vux4 #IndonesiaKuat #BangkitBersama,
ivooxid,"Disinggung Pencapresan, Sandiaga Uno: Prabowo Bilang Jangan Provokasi https://t.co/lgK2rGk1rZ",Jakarta
MarhanisSalean2,"@TheBest97311628 @cebongbuduk @bob_ichsan @UGMYogyakarta Erwin Aksa melemparkan bola panas , dikonfirmasi Sandiaga Uno, dikukuhkan Fadli Zon ..... 
https://t.co/wEBgeSPYim
Pantas selalu kelebihan bayar ..... https://t.co/1IDMUwhf8G","DKI Jakarta, Indonesia"
orbittweet_id,"Sandiaga Uno Ikut Bangga Ketika Banyak Orang India Datang ke Bali untuk Menikah!
@sandiuno #Bali #orbitindonesia 
https://t.co/dbMOJWq0rG",Jakarta
kumparan,Relawan Sandiaga Uno yang tergabung dalam 'Sandiuno Fans Club' menjadikan eceng gondok sebagai salah satu alternatif penghasilan tambahan keluarga dan menumbuhkan wirausaha baru. https://t.co/tjF7ytdLZa,
heraldindo,"Dibocorkan Sandiaga Uno, Plt Ketum PPP Berguyon soal Dirinya, Prabowo: Jangan Provokasi https://t.co/OsfiUCPZ8K","Jakarta Selatan, DKI Jakarta"
andyyusuf22,"PPP Pinjam Sandiaga Uno untuk Capres 2024, Begini Reaksi Prabowo Subianto - https://t.co/3KhKmfCRiL https://t.co/ddcE8TuFzk",Surabaya   
andyyusuf22,"Diisukan Hengkang dari Gerindra, Sandiaga Uno Tegaskan Setia kepada Prabowo Subianto - https://t.co/TswkVCMK0B https://t.co/eWssO2CN5v",Surabaya   
andyyusuf22,"Di Tengah Gaduh Kabar Sandiaga Uno Nyapres, Prabowo Posting Foto Wajah serta Tulis Pesan Ini - MSN https://t.co/T1fPT4YRmt",Surabaya   
LaJaya75536516,"@democrazymedia Titipan istana bergabung diprabowo,ada sandiaga uno yang tiba tiba buka cerita tentang utang,ada joman yang masuk,datang lagi si sempak metah yang mulutnya kotor",
fajaronline,"Bawaslu Sebut Dana Rp50 Miliar Anies Masuk Pelanggaran Pidana, Tapi Tak Bisa Diusut https://t.co/9CFBOiRWMB #AniesBaswedan #Bawaslu #PilkadaDkiJakarta #SandiagaUno","Jakarta, Indonesia"
haelamarie,"Sandiaga Uno dan Prabowo Subianto Hadiri Harlah PPP, Mardiono Lontarkan Candaan Ini - Nasional Tempo https://t.co/Bj28J9Nr4K #IndonesiaKuat #BangkitBersama",Indonesia
WartaEkonomi,"Sebut Sandiaga Uno dan Mahfud MD Sosok Cawapres tapi Tidak Ada Nama AHY, Jokowi: Oh Iya Saya Lupa... https://t.co/rqUoq5ZEaN","Jakarta, Indonesia"
VIVAcoid,"Wakil Ketua Dewan Pembina Partai Gerindra, Sandiaga Uno, menanggapi adanya permintaan agar dirinya bergabung ke PPP. 

Selengkapnya: https://t.co/IgHoAmFelf 
___
#Vivacoid #Sandiaga #PPP https://t.co/U2IGKi5syN",
OposisiCerdas,"Sandiaga Uno Serahkan ke Prabowo dan Mardiono soal Harapan PPP
https://t.co/803tCID3oK",
tvOneNews,"Sandiaga Uno Hadiri Puncak Harlah ke-50 PPP, Waketum: Populer di Internal https://t.co/dnIfTx0qIg",Pulo Gadung
tvOneNews,"Sandiaga Uno Hadir Puncak Harlah ke-50 PPP, Waketum: Populer di Internal https://t.co/qH1PMiuoCL",Pulo Gadung
JadeKesuma,"Selain beliau menteri BUMN @erickthohir turut menghadiri pula presiden @jokowi, Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno, Menteri Agama (Menag) Yaqut Cholil Qoumas. 
#BangkitBersamaET https://t.co/TKk7gW1Mep",
geliatnegeri,"Menteri Perdagangan Zulkifli Hasan, Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno, Menteri Investasi Bahlil Lahadalia, dan Menteri BUMN Erick Thohir. https://t.co/FTZs8Ze6Xz",
haelamarie,"Isu Sandiaga Uno Mundur dari Partai Gerindra, PPP Izin Pinjem Kepada Prabowo - https://t.co/udz04Y7aVv https://t.co/EdMeDjKGMc #IndonesiaKuat #BangkitBersama",Indonesia
yahwa_id,Respons Mardiono Soal Peluang Sandiaga Uno Masuk PPP: Kami Punya Kewajiban Mengangkat Tokoh Nasional https://t.co/UpjsxtuuCM,"DKI Jakarta, Indonesia"
KompasTV,"Soal Peluang Pindah ke PPP, Sandiaga Uno: Itu Ranah Pimpinan, Pak Mardiono akan Bertemu Pak Prabowo https://t.co/7vHq8i6RE2",Indonesia
txtdarireyy,"@nusantara_one @JUKIORebon Bener dong. Kan kita selaku penjamin juga harus bisa menjamin kalo hutangnya bisa dibayar dimana kalo emang anis ga mampu bayar jadi mau ga mau si sandiaga uno yang tanggung jawab baik itu minta hutangnya ke anies atau bayarkan hutangnya.
Ini pendukungnya nalarnya pada kemana dah",
VIVAcoid,"Sandiaga Uno Muncul di Harlah PPP, Mardiono: Saya yang Rugi https://t.co/kR3TzRp0he",
hanahanifahlagi,"Sandiaga Uno dan Prabowo Subianto Hadiri Ulang Tahun ke-50 PPP, Ini Kata Mardiono https://t.co/LG18a1rpNK","Gambir, Indonesia"
fajarposmedia,@sandiuno | FPTV Network | Profil Sandiaga Uno: https://t.co/K616N7cnKS https://t.co/x6a13N1JNQ,Indonesia
tempo_english,Sandiaga Uno Talks of YouTube Content as Object for Bank Guarantee https://t.co/RBxRUhATED #TempoEnglish,"Jakarta, Indonesia"
ricko_liquid,"Diisukan Gabung PPP, Sandiaga Uno: Saya Ikuti Arahan Pimpinan

 #Sindonews #BukanBeritaBiasa .https://t.co/Tv2rVv1JzI","Purworejo, Indonesia"
SINDOnews,"Diisukan Gabung PPP, Sandiaga Uno: Saya Ikuti Arahan Pimpinan

 #Sindonews #BukanBeritaBiasa .https://t.co/NLqmHshNGm","Jakarta Pusat, DKI Jakarta"
tvOneNews,"Isu Sandiaga Uno Mundur dari Gerindra, PPP Izin Pinjem kepada Prabowo https://t.co/OSZ1zP1Jm7",Pulo Gadung
